followers_count,following_count,followers_following_ratio,account_age_days,bio_length,has_profile_pic,posts_per_day,avg_likes,avg_comments,hashtags_per_post,has_url_in_bio,posting_regularity,content_repetition_score,engagement_consistency,is_fake
12,101,0.1188118811881188,2224,61,1,0.13,3.5999999999999996,0,6.4,1,0.71,0.1,0.61,0
255,15,17.0,1000,102,1,1.08,1.0,0,3.6,0,0.43,0.04,0.8,0
870,167,5.209580838323354,505,93,1,0.8,2.0,0,0.8,0,0.6,0.16,0.65,0
3,4,0.75,1565,80,1,0.0,0.8999999999999999,0,2.2,0,0.39,0.13,0.81,0
49,25,1.96,2154,54,1,0.07,4.0,0,3.0,0,0.66,0.11,0.75,0
1057,55,19.21818181818182,2162,66,1,0.38,11.0,0,4.6,0,0.7,0.19,0.87,0
11,1312,0.008384146341463415,3464,118,1,0.16,3.3,0,0.2,0,0.31,0.16,0.66,0
671,201,3.3383084577114426,417,45,1,0.54,54.0,2,5.9,0,0.85,0.09,0.51,0
110,298,0.3691275167785235,3445,21,1,0.44,17.0,0,2.3,1,0.52,0.16,0.67,0
288,14,20.571428571428573,3775,125,1,0.32,86.39999999999999,9,7.3,1,0.87,0.05,0.71,0
38,323,0.11764705882352941,3529,55,1,0.65,11.4,1,2.1,0,0.83,0.14,0.79,0
389,204,1.9068627450980393,1355,45,1,2.27,1.0,0,0.8,0,0.66,0.13,0.59,0
1061,63,16.841269841269842,2195,47,1,0.78,4.0,0,1.7,1,0.92,0.13,0.68,0
577,31,18.612903225806452,257,69,1,1.59,173.1,22,0.2,0,0.54,0.1,0.87,0
35,2663,0.013143071723619977,118,0,0,33.15,2.0,0,18.7,0,0.93,0.71,0.16,1
74265,33000,2.2504545454545455,162,65,1,4.77,391.0,18,20.4,1,0.6,0.34,0.39,1
78,84,0.9285714285714286,759,74,1,0.94,7.0,0,4.9,1,0.91,0.23,0.6,0
97,3309,0.02931399214264128,51,16,1,31.46,1.0,0,20.5,0,0.94,0.76,0.17,1
1392,43,32.372093023255815,554,44,1,0.41,56.0,5,7.5,1,0.31,0.19,0.79,0
65,21,3.0952380952380953,3350,101,1,0.09,16.0,1,3.0,0,0.59,0.0,0.95,0
110,192,0.5729166666666666,218,87,1,1.08,1.0,0,7.7,0,0.85,0.14,0.69,0
98,4807,0.0203869357187435,53,17,0,25.5,0.0,0,18.3,1,0.88,0.71,0.13,1
93,45,2.066666666666667,2167,93,1,0.55,27.9,1,1.0,0,0.32,0.05,0.69,0
641,590,1.0864406779661018,2615,72,1,0.38,12.0,1,6.5,0,0.46,0.05,0.65,0
12559,23835,0.5269142018040697,331,51,1,5.55,52.0,0,11.6,1,0.79,0.41,0.36,1
10,2215,0.004514672686230248,3373,69,1,0.87,0.0,0,3.2,0,0.4,0.23,0.67,0
31,1110,0.027927927927927927,90,0,0,33.09,2.0,0,26.7,1,0.87,0.61,0.03,1
171,119,1.4369747899159664,2591,52,0,0.28,3.0,0,3.1,1,0.31,0.14,0.94,0
204,4106,0.04968339016074038,112,155,1,14.09,4.0,0,21.3,0,0.87,0.52,0.23,1
24,1126,0.021314387211367674,3738,80,1,1.88,3.0,0,2.9,0,0.4,0.24,0.91,0
1959,659,2.9726858877086495,460,96,1,0.43,0.0,0,0.1,1,0.39,0.03,0.93,0
327,5,65.4,689,109,1,0.09,32.0,1,7.0,0,0.6,0.03,0.79,0
21,5090,0.0041257367387033395,116,15,0,46.42,1.0,0,18.2,1,0.99,0.71,0.18,1
53,5123,0.010345500683193442,78,16,0,20.64,2.0,0,15.0,0,0.99,0.77,0.07,1
339,23,14.73913043478261,2655,69,1,5.79,18.0,2,6.0,0,0.57,0.18,0.83,0
70,87,0.8045977011494253,481,42,1,1.23,21.0,2,1.1,0,0.92,0.19,0.55,0
71,1554,0.04568854568854569,111,0,1,19.14,2.0,0,19.8,1,0.98,0.67,0.09,1
464,452,1.0265486725663717,27,158,1,3.09,6.0,0,4.3,1,0.68,0.52,0.31,1
96,4962,0.019347037484885126,26,8,0,19.96,2.0,0,29.7,0,0.88,0.69,0.14,1
2933,1380,2.1253623188405797,2697,93,1,0.5,33.0,4,4.4,0,0.83,0.17,0.66,0
54117,40324,1.342054359686539,378,61,1,8.58,61.0,0,14.7,1,0.6,0.67,0.19,1
50,2716,0.018409425625920472,35,19,0,20.47,0.0,0,27.2,0,0.98,0.87,0.09,1
152,363,0.418732782369146,3337,100,1,0.01,7.0,0,0.7,1,0.92,0.24,0.76,0
1796,3,598.6666666666666,1846,86,1,0.12,10.0,1,3.9,0,0.82,0.11,0.51,0
63,163,0.38650306748466257,201,82,1,1.07,2.0,0,3.2,0,0.83,0.21,0.91,0
454,2739,0.16575392479006937,47,158,1,10.2,3.0,0,26.1,1,0.85,0.75,0.22,1
94,3652,0.02573932092004381,99,13,0,36.62,1.0,0,26.1,1,0.96,0.61,0.13,1
8,2037,0.0039273441335297005,64,14,0,18.74,2.0,0,27.3,0,0.87,0.88,0.16,1
15,6681,0.00224517287831163,2,17,0,32.57,0.0,0,28.2,1,0.92,0.67,0.09,1
5,38,0.13157894736842105,1883,142,1,0.7,1.5,0,7.6,0,0.44,0.14,0.84,0
7213,41620,0.1733061028351754,234,92,1,12.29,40.0,1,17.2,0,0.8,0.44,0.31,1
61,1774,0.034385569334836524,99,0,0,39.12,0.0,0,17.6,0,0.86,0.9,0.03,1
9,216,0.041666666666666664,2182,48,1,0.03,2.6999999999999997,0,5.4,1,0.44,0.22,0.8,0
28,137,0.20437956204379562,3885,77,1,1.25,4.0,0,3.5,1,0.5,0.19,0.5,0
6,153,0.0392156862745098,1109,87,1,0.83,1.7999999999999998,0,2.3,0,0.75,0.1,0.9,0
38,2171,0.017503454629203132,88,0,0,13.15,0.0,0,16.3,1,0.93,0.71,0.14,1
19,759,0.025032938076416336,3765,108,1,0.38,5.7,0,1.5,1,0.81,0.22,0.83,0
1031,170,6.064705882352941,2825,135,1,0.29,3.0,0,3.6,0,0.83,0.21,0.91,0
2,362,0.0055248618784530384,349,79,1,0.15,0.0,0,4.7,1,0.68,0.23,0.71,0
572,73,7.835616438356165,528,87,1,1.99,5.0,0,2.5,0,0.33,0.14,0.92,0
5365,28,191.60714285714286,2172,85,1,1.27,8.0,0,4.3,0,0.94,0.22,0.89,0
145,2951,0.04913588614029143,156,110,1,7.98,8.0,0,28.2,0,0.9,0.87,0.15,1
12,821,0.014616321559074299,53,0,0,18.86,1.0,0,26.0,0,0.95,0.99,0.18,1
95,6872,0.013824214202561117,14,8,0,22.98,2.0,0,23.4,0,0.9,0.66,0.07,1
280,8,35.0,2909,42,0,1.07,48.0,4,4.9,0,0.46,0.09,0.84,0
669,10,66.9,3027,117,1,0.38,107.0,13,2.8,1,0.5,0.11,0.6,0
81479,41664,1.9556211597542243,360,37,1,7.76,790.0,24,12.5,0,0.73,0.62,0.3,1
272,29,9.379310344827585,293,27,1,0.01,9.0,0,0.1,0,0.66,0.06,0.79,0
12493,64165,0.19470116106911867,96,79,1,5.36,117.0,2,24.0,0,0.81,0.6,0.36,1
18893,13429,1.4068806314692084,352,44,1,12.38,92.0,3,12.3,1,0.94,0.32,0.14,1
1839,218,8.435779816513762,1679,72,1,1.21,2.0,0,1.4,0,0.33,0.18,0.52,0
1270,19,66.84210526315789,437,25,1,0.04,51.0,6,7.8,0,0.79,0.03,0.84,0
439,18,24.38888888888889,3548,97,1,0.27,52.0,3,2.0,0,0.65,0.09,0.66,0
174,206,0.8446601941747572,2145,82,1,0.75,3.0,0,1.9,1,0.5,0.02,0.58,0
140,550,0.2545454545454545,3322,86,1,2.7,11.0,0,3.8,0,0.87,0.24,0.65,0
221,97,2.2783505154639174,630,69,1,0.5,2.0,0,4.5,1,0.56,0.08,0.86,0
683,523,1.305927342256214,1073,125,1,0.64,204.9,17,4.5,0,0.37,0.19,0.56,0
1071,422,2.537914691943128,2461,123,1,2.22,135.0,11,0.2,1,0.38,0.09,0.77,0
1483,65,22.815384615384616,591,130,1,0.72,24.0,1,2.1,0,0.54,0.2,0.51,0
43,4988,0.008620689655172414,63,0,0,19.28,1.0,0,19.7,0,0.98,0.62,0.07,1
70,4740,0.014767932489451477,55,18,0,10.39,0.0,0,15.9,1,0.98,0.94,0.17,1
3446,392,8.790816326530612,23,151,1,2.79,20.0,0,8.4,1,0.44,0.47,0.28,1
19,879,0.02161547212741752,9,6,1,44.06,1.0,0,28.0,0,0.91,0.84,0.11,1
318,309,1.029126213592233,557,112,1,0.43,95.39999999999999,12,2.0,0,0.51,0.19,0.91,0
241,3576,0.0673937360178971,77,142,0,17.47,3.0,0,25.2,0,0.88,0.84,0.15,1
311,15,20.733333333333334,2203,113,1,0.01,17.0,1,0.8,1,0.78,0.07,0.78,0
227,69,3.289855072463768,3272,79,1,0.37,26.0,1,3.5,1,0.94,0.02,0.77,0
332,75,4.426666666666667,3314,72,1,0.27,18.0,0,6.8,1,0.35,0.07,0.59,0
13730,16054,0.8552385698268344,370,76,1,12.65,36.0,1,24.1,1,0.68,0.35,0.2,1
491,1039,0.47256977863330124,79,140,1,19.02,2.0,0,22.2,1,0.96,0.58,0.14,1
36573,44552,0.8209059077033579,87,80,1,5.59,113.0,0,18.8,0,0.94,0.46,0.2,1
115,92,1.25,479,93,1,0.37,17.0,1,7.1,0,0.78,0.02,0.8,0
877,40,21.925,1255,91,1,0.22,191.0,4,3.8,1,0.69,0.07,0.63,0
632,5,126.4,2936,123,1,0.16,17.0,0,4.6,0,0.51,0.15,0.52,0
413,227,1.8193832599118942,328,84,0,1.44,1.0,0,2.4,0,0.61,0.04,0.51,0
91,2827,0.032189600282985495,146,149,1,29.84,8.0,0,22.2,1,0.83,0.62,0.19,1
998,10,99.8,3959,73,1,0.52,1.0,0,0.1,0,0.79,0.04,0.53,0
4129,356,11.598314606741573,77,127,1,1.22,38.0,0,5.4,0,0.52,0.49,0.46,1
201,84,2.392857142857143,1787,106,1,0.7,12.0,1,6.9,0,0.61,0.1,0.94,0
440,457,0.962800875273523,2284,74,1,0.24,3.0,0,4.0,1,0.44,0.17,0.53,0
44,95,0.4631578947368421,291,33,1,1.81,13.2,0,5.8,0,0.37,0.16,0.77,0
263,84,3.130952380952381,1003,88,1,0.52,78.89999999999999,9,7.4,0,0.8,0.02,0.59,0
7808,409,19.09046454767726,372,103,1,0.2,6.0,0,6.7,1,0.95,0.09,0.67,0
118,4644,0.025409130060292853,88,146,1,16.76,5.0,0,27.7,1,0.88,0.66,0.12,1
63,440,0.1431818181818182,3394,107,0,0.01,14.0,0,2.0,0,0.88,0.11,0.77,0
75,150,0.5,253,95,1,1.46,22.5,2,7.7,0,0.62,0.1,0.57,0
90,137,0.656934306569343,2258,84,1,0.85,25.0,3,7.6,1,0.41,0.12,0.82,0
597,296,2.016891891891892,2364,113,1,1.21,3.0,0,6.6,0,0.43,0.02,0.83,0
3,2232,0.0013440860215053765,78,6,0,26.32,1.0,0,29.3,1,0.9,0.68,0.11,1
106,77,1.3766233766233766,2061,73,1,0.2,7.0,0,7.6,1,0.59,0.22,0.8,0
242,328,0.7378048780487805,622,51,1,0.75,72.6,9,6.0,1,0.86,0.09,0.93,0
296,54,5.481481481481482,262,102,1,1.22,3.0,0,0.4,0,0.45,0.14,0.79,0
393,4229,0.09292977063135494,177,110,1,22.86,7.0,0,23.1,1,0.79,0.63,0.27,1
537,2030,0.2645320197044335,375,81,1,0.56,152.0,12,1.4,1,0.4,0.05,0.94,0
